ax,ay,az,rx,ry,rz,label
0.020996,-0.021729,1.001465,-0.109863,0.017090,0.031128,0

0.022461,-0.022339,1.000488,-0.048828,-0.104980,0.031128,0

0.018066,-0.023804,0.997192,-0.109863,-0.104980,0.031128,0

0.019165,-0.025635,1.001465,-0.048828,0.200195,0.031128,0

0.024536,-0.021729,1.002808,0.012207,0.017090,0.031128,0

0.023560,-0.023315,1.000488,-0.048828,0.017090,-0.029907,0

0.023438,-0.023560,1.002686,-0.048828,0.017090,0.092163,0

0.017822,-0.025635,0.998779,0.073242,-0.227051,-0.029907,0

0.016968,-0.023560,1.002930,-0.048828,0.017090,0.031128,0

0.022583,-0.022827,1.003296,-0.048828,0.078125,0.031128,0

0.021973,-0.023926,0.999878,0.073242,0.017090,0.092163,0

0.017578,-0.025513,1.003784,-0.048828,-0.043945,-0.029907,0

0.022461,-0.025024,1.002441,0.012207,0.017090,0.031128,0

0.024536,-0.023682,1.002563,-0.048828,0.017090,-0.029907,0

0.020996,-0.022949,1.002930,-0.048828,0.017090,-0.090942,0

0.024414,-0.022461,1.004150,-0.109863,0.017090,0.092163,0

0.019409,-0.022705,1.004395,-0.048828,0.017090,0.031128,0

0.022583,-0.025024,1.001465,-0.109863,0.017090,0.031128,0

0.024658,-0.023438,1.003052,-0.109863,-0.043945,-0.029907,0

0.024780,-0.020020,1.005127,-0.231934,0.078125,0.031128,0

0.020264,-0.023438,0.999268,-0.476074,0.017090,-0.029907,0

0.021362,-0.027832,1.001343,-0.415039,0.078125,0.031128,0

0.021606,-0.027466,1.001343,-0.109863,0.017090,0.031128,0

0.022583,-0.022705,1.002686,-0.109863,0.017090,0.092163,0

0.022705,-0.027466,1.000610,0.012207,0.017090,0.031128,0

0.023315,-0.024170,1.002563,0.073242,0.017090,0.031128,0

0.018799,-0.024902,1.004395,-0.048828,0.017090,0.092163,0

0.020630,-0.024536,0.999878,0.012207,-0.043945,-0.029907,0

0.020996,-0.026123,1.003296,0.012207,0.017090,0.031128,0

0.024658,-0.025146,1.003906,-0.048828,-0.043945,0.031128,0

0.020020,-0.022461,1.001709,-0.048828,-0.043945,0.031128,0

0.020264,-0.026123,1.002441,0.012207,0.078125,-0.029907,0

0.020996,-0.026489,0.998657,0.012207,0.017090,0.031128,0

0.021973,-0.025879,1.003662,0.012207,0.017090,-0.029907,0

0.023804,-0.023926,1.005005,-0.048828,0.078125,-0.029907,0

0.020874,-0.026611,1.001099,-0.048828,0.078125,-0.029907,0

0.021606,-0.025024,1.002563,0.012207,0.017090,-0.029907,0

0.023560,-0.024048,1.004883,-0.048828,-0.043945,0.092163,0

0.021606,-0.023438,0.992554,2.209473,0.078125,0.031128,0

-0.134033,-0.924438,1.009155,-2.001953,0.139160,14.618530,0

0.640991,2.598633,1.030029,-5.969238,-1.142578,134.491577,0

0.145020,-0.026001,1.017090,-6.518555,2.946777,-1.494751,0

0.052368,-0.206909,0.968018,-20.312500,9.477539,26.825562,0

-0.060791,-0.112305,1.160034,-100.451660,-4.865723,126.068726,0

-0.097412,-0.386963,1.021118,-256.640625,-16.340332,112.946167,0

0.043823,-0.350708,0.754150,-183.947754,-3.217773,74.860229,0

-0.165039,-0.622070,0.883789,-152.758789,-31.232910,39.398804,0

0.004761,-0.765015,0.742920,-183.764648,-35.078125,66.071167,0

-0.171753,-0.866211,0.543091,-102.832031,10.637207,42.206421,0

-0.376587,-1.085815,0.583252,-28.674316,14.970703,-15.410767,0

-0.161255,-0.877686,0.444946,-98.620605,-16.218262,30.609741,0

-0.287720,-0.886108,0.432739,96.203613,-10.480957,4.181519,0

-0.147095,-0.701294,0.344604,80.883789,-10.847168,-2.410278,0

-0.090088,-0.913696,0.499634,89.001465,14.360352,6.195679,0

